group,method,sequence,corruption,kitti_seq,severity,status,ape_rmse,rpe_rmse,gt_total,n_synced,coverage_pct,gt_file,est_file
kitti_2d,dpvo,00_brightness_s1,brightness,00,1,OK,94.3336723016888,9.355073810591866,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_brightness_s1/00000_KeyFrameTrajectory.txt
kitti_2d,dpvo,00_brightness_s2,brightness,00,2,OK,93.87492898159594,9.276277365608388,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_brightness_s2/00000_KeyFrameTrajectory.txt
kitti_2d,dpvo,00_brightness_s3,brightness,00,3,OK,93.51042099418028,9.268484669654288,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_brightness_s3/00000_KeyFrameTrajectory.txt
kitti_2d,dpvo,00_brightness_s4,brightness,00,4,OK,93.85547198474858,9.2870604221127,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_brightness_s4/00000_KeyFrameTrajectory.txt
kitti_2d,dpvo,00_brightness_s5,brightness,00,5,OK,93.83472637356576,9.281301028870617,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_brightness_s5/00000_KeyFrameTrajectory.txt
kitti_2d,dpvo,00_contrast_s1,contrast,00,1,OK,94.25480360820957,9.337443272879513,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_contrast_s1/00000_KeyFrameTrajectory.txt
kitti_2d,dpvo,00_contrast_s2,contrast,00,2,OK,93.73573194657166,9.236786398495427,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_contrast_s2/00000_KeyFrameTrajectory.txt
kitti_2d,dpvo,00_contrast_s3,contrast,00,3,OK,93.20546169439392,9.191216302477612,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_contrast_s3/00000_KeyFrameTrajectory.txt
kitti_2d,dpvo,00_contrast_s4,contrast,00,4,OK,93.13399519632017,9.148604165409647,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_contrast_s4/00000_KeyFrameTrajectory.txt
kitti_2d,dpvo,00_contrast_s5,contrast,00,5,OK,93.0136050788584,9.155180194648041,4541,913,20.105703589517727,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_2d/dpvo/raw/00_contrast_s5/00000_KeyFrameTrajectory.txt
