group,method,sequence,corruption,kitti_seq,severity,status,ape_rmse,rpe_rmse,gt_total,n_synced,coverage_pct,gt_file,est_file
kitti_3d,orb,far_focus_00_5,far_focus,00,5,OK,6.310757552627397,0.14112424708115923,4541,2208,48.62365117815459,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/far_focus_00_5/00000_KeyFrameTrajectory.txt
kitti_3d,orb,flash_00_2,flash,00,2,OK,6.384640906245525,0.19160038720694753,4541,2053,45.21030609997798,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/flash_00_2/00000_KeyFrameTrajectory.txt
kitti_3d,orb,flash_00_3,flash,00,3,OK,6.497836698601351,0.167103561095566,4541,2135,47.016075754239154,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/flash_00_3/00000_KeyFrameTrajectory.txt
kitti_3d,orb,flash_00_4,flash,00,4,OK,9.069872402026718,0.2175185823600481,4541,2118,46.6417088746972,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/flash_00_4/00000_KeyFrameTrajectory.txt
kitti_3d,orb,fog_00_1,fog,00,1,OK,9.64206512896111,0.3433632206588451,4541,2138,47.08214049768774,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/fog_00_1/00000_KeyFrameTrajectory.txt
kitti_3d,orb,fog_00_2,fog,00,2,OK,6.79547009605716,0.18388482328648026,4541,2103,46.3113851574543,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/fog_00_2/00000_KeyFrameTrajectory.txt
kitti_3d,orb,fog_00_3,fog,00,3,OK,5.439282718310321,0.20327737161624665,4541,2031,44.7258313146884,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/fog_00_3/00000_KeyFrameTrajectory.txt
kitti_3d,orb,fog_00_4,fog,00,4,OK,12.595193952029517,1.1973954009695766,4541,1937,42.655802686632896,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/fog_00_4/00000_KeyFrameTrajectory.txt
kitti_3d,orb,fog_00_5,fog,00,5,OK,9.69897468861035,0.25963163810906503,4541,1428,31.44681788152389,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/fog_00_5/00000_KeyFrameTrajectory.txt
kitti_3d,orb,iso_noise_00_1,iso_noise,00,1,FAIL_EMPTY,,,4541,0,0.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_3d/orb/raw/iso_noise_00_1/00000_KeyFrameTrajectory.txt
