group,method,sequence,corruption,kitti_seq,severity,status,ape_rmse,rpe_rmse,gt_total,n_synced,coverage_pct,gt_file,est_file
kitti_mixed,orb,mix_brightness_contrast_00_1,mix_brightness_contrast,00,1,OK,6.3162711396224624,0.18832621858980186,4541,2080,45.804888791015195,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_brightness_contrast_00_1/00000_KeyFrameTrajectory.txt
kitti_mixed,orb,mix_brightness_contrast_00_2,mix_brightness_contrast,00,2,OK,6.5728127263535505,0.21909735063229405,4541,2092,46.069147764809514,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_brightness_contrast_00_2/00000_KeyFrameTrajectory.txt
kitti_mixed,orb,mix_brightness_contrast_00_3,mix_brightness_contrast,00,3,OK,4.859978339234028,0.1403937203791511,4541,2136,47.03809733538868,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_brightness_contrast_00_3/00000_KeyFrameTrajectory.txt
kitti_mixed,orb,mix_brightness_contrast_00_4,mix_brightness_contrast,00,4,FAIL_EMPTY,,,4541,0,0.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_brightness_contrast_00_4/00000_KeyFrameTrajectory.txt
kitti_mixed,orb,mix_brightness_contrast_00_5,mix_brightness_contrast,00,5,FAIL_EMPTY,,,4541,0,0.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_brightness_contrast_00_5/00000_KeyFrameTrajectory.txt
kitti_mixed,orb,mix_fog_contrast_00_1,mix_fog_contrast,00,1,OK,5.845900617769458,0.20895164360141397,4541,2094,46.11319092710857,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_fog_contrast_00_1/00000_KeyFrameTrajectory.txt
kitti_mixed,orb,mix_fog_contrast_00_2,mix_fog_contrast,00,2,OK,5.581400507788877,0.2518401071942015,4541,2119,46.66373045584673,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_fog_contrast_00_2/00000_KeyFrameTrajectory.txt
kitti_mixed,orb,mix_fog_contrast_00_3,mix_fog_contrast,00,3,OK,0.27552228241632204,0.24331999008535804,4541,80,1.761726491962123,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_fog_contrast_00_3/00000_KeyFrameTrajectory.txt
kitti_mixed,orb,mix_fog_contrast_00_4,mix_fog_contrast,00,4,FAIL_EMPTY,,,4541,0,0.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_fog_contrast_00_4/00000_KeyFrameTrajectory.txt
kitti_mixed,orb,mix_fog_contrast_00_5,mix_fog_contrast,00,5,FAIL_EMPTY,,,4541,0,0.0,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/VSLAM-LAB-Benchmark/KITTI/00/groundtruth.txt,/pfs/work9/workspace/scratch/ma_abthomas-thomas_thesis/Results_Consolidated/kitti_mixed/orb/raw/mix_fog_contrast_00_5/00000_KeyFrameTrajectory.txt
