method_name,dataset_name,sequence_name,exp_it,STATUS,SUCCESS,TIME,RAM,SWAP,GPU,COMMENTS,EVALUATION
droidslam,kitti_corrupted,00_elastic_transform_s3,0,completed,True,1870.16138792038,6.796558380126953,0.0,54.68426513671875,nan,none
droidslam,kitti_corrupted,00_elastic_transform_s4,0,completed,True,1680.12113904953,5.583080291748047,0.0,54.67254638671875,nan,none
droidslam,kitti_corrupted,00_elastic_transform_s5,0,completed,True,1710.583481311798,6.279392242431641,0.0,54.70184326171875,nan,none
droidslam,kitti_corrupted,00_frost_s1,0,completed,True,1930.3109471797943,5.584373474121094,0.0,55.77801513671875,nan,none
droidslam,kitti_corrupted,00_frost_s2,0,completed,True,1980.1487877368927,5.780368804931641,0.0,56.13739013671875,nan,none
droidslam,kitti_corrupted,00_frost_s3,0,completed,True,2040.2491767406464,5.910064697265625,0.0,56.39520263671875,nan,none
droidslam,kitti_corrupted,00_frost_s4,0,completed,True,2000.1499066352844,6.187324523925781,0.0,56.58660888671875,nan,none
droidslam,kitti_corrupted,00_frost_s5,0,completed,True,1980.2110078334808,6.119960784912109,0.0,56.03387451171875,nan,none
droidslam,kitti_corrupted,00_gaussian_noise_s1,0,completed,True,1770.1224014759064,7.5383148193359375,0.0,55.05731201171875,nan,none
droidslam,kitti_corrupted,00_gaussian_noise_s2,0,completed,True,1810.1448698043823,5.3575286865234375,0.0,55.19012451171875,nan,none
droidslam,kitti_corrupted,00_gaussian_noise_s3,0,completed,True,1860.174670934677,6.01275634765625,0.0,55.35028076171875,nan,none
droidslam,kitti_corrupted,00_gaussian_noise_s4,0,completed,True,1850.156890153885,5.880607604980469,0.0,55.36785888671875,nan,none
droidslam,kitti_corrupted,00_gaussian_noise_s5,0,completed,True,1870.144432067871,6.5122833251953125,0.0,55.33856201171875,nan,none
droidslam,kitti_corrupted,00_impulse_noise_s1,0,completed,True,1790.2146124839785,5.732833862304688,0.0,55.04949951171875,nan,none
droidslam,kitti_corrupted,00_impulse_noise_s2,0,completed,True,1770.130491256714,10.501731872558594,0.0,55.14910888671875,nan,none
droidslam,kitti_corrupted,00_impulse_noise_s3,0,completed,True,1750.154443025589,4.536022186279297,0.0,55.19207763671875,nan,none
droidslam,kitti_corrupted,00_impulse_noise_s4,0,completed,True,1760.2283680438995,2.840740203857422,0.0,55.20770263671875,nan,none
droidslam,kitti_corrupted,00_impulse_noise_s5,0,completed,True,1750.133902311325,4.744571685791016,0.0,55.22528076171875,nan,none
droidslam,kitti_corrupted,00_jpeg_compression_s1,0,completed,True,1580.1160740852356,4.328670501708984,0.0,54.78973388671875,nan,none
droidslam,kitti_corrupted,00_jpeg_compression_s2,0,completed,True,1590.3339140415192,4.354625701904297,0.0,54.79364013671875,nan,none
droidslam,kitti_corrupted,00_jpeg_compression_s3,0,completed,True,1630.1070535182953,4.243312835693359,0.0,54.81707763671875,nan,none
droidslam,kitti_corrupted,00_jpeg_compression_s4,0,completed,True,1620.1244866847992,4.553241729736328,0.0,54.80340576171875,nan,none
droidslam,kitti_corrupted,00_jpeg_compression_s5,0,completed,True,1600.2586588859558,4.4976348876953125,0.0,54.79559326171875,nan,none
droidslam,kitti_corrupted,00_motion_blur_s1,0,completed,True,1610.1175334453585,4.400333404541016,0.0,54.82098388671875,nan,none
droidslam,kitti_corrupted,00_motion_blur_s2,0,completed,True,1640.1158647537231,4.533252716064453,0.0,54.99285888671875,nan,none
droidslam,kitti_corrupted,00_motion_blur_s3,0,completed,True,1430.1798565387726,4.051639556884766,0.0,53.79754638671875,,none
droidslam,kitti_corrupted,00_motion_blur_s4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_motion_blur_s5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_pixelate_s1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_pixelate_s2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_pixelate_s3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_pixelate_s4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_pixelate_s5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_shot_noise_s1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_shot_noise_s2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_shot_noise_s3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_shot_noise_s4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_shot_noise_s5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_snow_s1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_snow_s2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_snow_s3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_snow_s4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_snow_s5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_corrupted,00_zoom_blur_s5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
