method_name,dataset_name,sequence_name,exp_it,STATUS,SUCCESS,TIME,RAM,SWAP,GPU,COMMENTS,EVALUATION
droidslam,kitti_3d_corrupted,far_focus_00_1,0,completed,True,3040.1982233524323,4.862171173095703,0.0,51.16668701171875,nan,none
droidslam,kitti_3d_corrupted,far_focus_00_2,0,completed,True,2910.2206594944,5.970851898193359,0.0,48.32098388671875,nan,none
droidslam,kitti_3d_corrupted,far_focus_00_3,0,completed,True,2910.521541595459,7.1431427001953125,0.0,51.13153076171875,nan,none
droidslam,kitti_3d_corrupted,far_focus_00_4,0,completed,True,2880.630699634552,4.388263702392578,0.0,51.12957763671875,nan,none
droidslam,kitti_3d_corrupted,far_focus_00_5,0,completed,True,2900.4849088191986,4.6439208984375,0.0,51.11590576171875,nan,none
droidslam,kitti_3d_corrupted,near_focus_00_1,0,completed,True,2660.195399045944,4.116680145263672,0.0,50.87567138671875,nan,none
droidslam,kitti_3d_corrupted,near_focus_00_2,0,completed,True,2630.430410385132,9.36703109741211,0.0,50.60028076171875,,none
droidslam,kitti_3d_corrupted,near_focus_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,near_focus_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,near_focus_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,low_light_00_1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,low_light_00_2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,low_light_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,low_light_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,low_light_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,iso_noise_00_1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,iso_noise_00_2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,iso_noise_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,iso_noise_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,iso_noise_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,flash_00_1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,flash_00_2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,flash_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,flash_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
droidslam,kitti_3d_corrupted,flash_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
