method_name,dataset_name,sequence_name,exp_it,STATUS,SUCCESS,TIME,RAM,SWAP,GPU,COMMENTS,EVALUATION
monogs,kitti_3d_corrupted,fog_00_1,0,completed,True,4290.3609166145325,4.68072509765625,0.0,4.50592041015625,nan,none
monogs,kitti_3d_corrupted,fog_00_2,0,completed,True,4100.442262172699,5.096290588378906,0.03173828125,3.67193603515625,nan,none
monogs,kitti_3d_corrupted,fog_00_3,0,completed,False,3300.418730020523,4.1439208984375,0.0,3.11920166015625,nan,none
monogs,kitti_3d_corrupted,fog_00_4,0,completed,True,3050.3585212230682,4.361721038818359,0.0,3.17974853515625,,none
monogs,kitti_3d_corrupted,fog_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,rain_00_1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,rain_00_2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,rain_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,rain_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,rain_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,far_focus_00_1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,far_focus_00_2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,far_focus_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,far_focus_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,far_focus_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,flash_00_1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,flash_00_2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,flash_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,flash_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,flash_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,iso_noise_00_1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,iso_noise_00_2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,iso_noise_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,iso_noise_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,iso_noise_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,low_light_00_1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,low_light_00_2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,low_light_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,low_light_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,low_light_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,near_focus_00_1,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,near_focus_00_2,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,near_focus_00_3,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,near_focus_00_4,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti_3d_corrupted,near_focus_00_5,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
