method_name,dataset_name,sequence_name,exp_it,STATUS,SUCCESS,TIME,RAM,SWAP,GPU,COMMENTS,EVALUATION
monogs,kitti,00,0,completed,True,1170.1899633407593,8.740272521972656,0.0,6.94366455078125,nan,none
monogs,kitti,01,0,completed,True,760.2351040840149,5.786617279052734,0.0,3.51007080078125,nan,none
monogs,kitti,02,0,completed,True,730.1070868968964,4.613307952880859,0.0,3.56866455078125,,none
monogs,kitti,03,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti,04,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti,05,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti,06,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti,07,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti,08,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti,09,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
monogs,kitti,10,0,nan,nan,0.0,0.0,0.0,0.0,nan,none
